outcome,outcome_label,n,r,ci_low,ci_high,p_value
act_composite,ACT composite score,38,0.09781149569324483,-0.22903343893041866,0.4048361478610356,0.5590772567743858
grad_rate,Four year graduation rate (percent),38,0.28412279535969176,-0.03911318397906686,0.5535294428718487,0.08384981605260879
ela_proficient_pct,ELA proficiency (percent),38,0.02851133211669718,-0.2938503508980034,0.34504969782732975,0.8650739106776
math_proficient_pct,Math proficiency (percent),38,0.08918017423144159,-0.23726754018834312,0.39753017566445426,0.594419799849442
chronic_absent_pct,Chronic absenteeism (percent),38,-0.27922007846194624,-0.5498249523484031,0.044429108208851494,0.08956773663260575
