district,url,depth,status,reason,candidates_found
Clark,https://www.ccsd.net/about/school-board/trustees/adam-johnson/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/lisa-satory/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/school-board/trustees/brenda-zamora/,2,cached,served from local cache,0
Clark,https://www.ccsd.net/about/ccsd-destination-district-community-dream-sessions/,2,cached,served from local cache,0
Douglas,https://www.dcsd.net/,0,cached,served from local cache,0
Douglas,https://www.dcsd.net/careers/salary-schedules,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/portrait,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/epic,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/douglas-parent-advisory-council,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/budget,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/leadership,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/podcast,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/school-board,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/reports-surveys,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/our-history,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/weather,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/enrollment/annual-updates-existing-students,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/enrollment/enroll-now-new-students,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/schools/elementary-schools,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/schools/middle-schools,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/schools/high-schools,1,cached,served from local cache,0
Douglas,https://aspire.dcsd.net,1,cached,served from local cache,0
Douglas,https://dhs.dcsd.net,1,cached,served from local cache,0
Douglas,https://dhs.dcsd.net/about/bell-schedules,2,cached,served from local cache,0
Douglas,https://dhs.dcsd.net/athletics/sport-schedules,2,cached,served from local cache,0
Douglas,https://dhs.dcsd.net/connect/bell-schedules,2,cached,served from local cache,0
Douglas,https://dhs.dcsd.net/fs/resource-manager/view/c796b6e0-bc99-4321-8482-093a924ad1ed,3,error,not HTML: application/pdf,0
Douglas,https://whs.dcsd.net,1,cached,served from local cache,0
Douglas,https://whs.dcsd.net/calendars/bell-schedules,2,cached,served from local cache,0
Douglas,https://whs.dcsd.net/fs/resource-manager/view/7444125a-b92c-4bc3-8df9-4ff0b4bf1455,3,error,not HTML: application/pdf,0
Douglas,https://www.dcsd.net/schools/alternative-learning,1,cached,served from local cache,0
Douglas,https://www.dcsd.net/fs/pages/360,2,cached,served from local cache,0
Douglas,https://www.dcsd.net/about/closings-delays,2,disallowed,disallowed by robots.txt,0
Elko,https://www.ecsdnv.net/,0,cached,served from local cache,0
Esmeralda,https://esmeralda.k12.nv.us/en-US,0,cached,served from local cache,0
Esmeralda,https://tonopah.nye.k12.nv.us/,1,cached,served from local cache,0
Esmeralda,https://www.nye.k12.nv.us/page/about-nye-county,2,cached,served from local cache,0
Eureka,https://www.ecsdnv.org/,0,cached,served from local cache,0
Humboldt,https://www.hcsdnv.com/,0,cached,served from local cache,0
Humboldt,https://www.hcsdnv.com/families-students/school-bell-schedules,1,cached,served from local cache,0
Humboldt,https://www.hcsdnv.com/school-daily-schedules,1,cached,served from local cache,0
Humboldt,https://www.hcsdnv.com/families-students/prek,1,cached,served from local cache,0
Humboldt,https://www.hcsdnv.com/our-district/about,1,cached,served from local cache,0
