school_id,school_name,borough,district,start_minutes,start_time_raw,building_code,grad_rate,advanced_regents_pct,dropout_pct,attendance_rate,college_career_rate,cohort_size,poverty_pct,el_pct,swd_pct,enrollment,admissions_method,applicants_per_seat,outcome_censored,enrollment_1000,start_hours,start_group,poverty_band
18K576,Victory Collegiate High School,Brooklyn,New York City,505.0,8:25am,K515,63.3,0.0,7.6,88.0,53.0,79.0,76.4,6.7,25.5,341.0,Unscreened,2.0,False,0.341,8.416666666666666,Late,Upper middle
19K404,Academy for Young Writers,Brooklyn,New York City,540.0,9am,K422,91.4,0.0,2.9,88.0,73.0,70.0,80.9,3.4000000000000004,22.1,551.0,Educational option,9.0,False,0.551,9.0,Late,Upper middle
15K684,Millennium Brooklyn High School,Brooklyn,New York City,480.0,8am,K460,98.7,67.9,0.6,94.0,88.0,159.0,39.3,0.3,15.1,675.0,Screened,39.0,False,0.675,8.0,Early,Lowest poverty
31R445,Port Richmond High School,Staten Island,New York City,480.0,8am,R445,68.6,11.8,9.1,86.0,36.0,363.0,71.7,9.2,27.500000000000004,1564.0,Screened,4.0,False,1.564,8.0,Early,Upper middle
23K514,Frederick Douglass Academy VII High School,Brooklyn,New York City,562.0,9:22am,K175,77.8,0.0,8.3,82.0,37.0,36.0,86.1,3.9,32.7,153.0,Educational option,2.0,False,0.153,9.366666666666667,Late,Highest poverty
15K497,The Boerum Hill School for International Studies,Brooklyn,New York City,495.0,8:15am,K293,72.5,0.0,0.0,80.0,56.00000000000001,51.0,48.2,7.199999999999999,20.7,723.0,Screened,4.0,False,0.723,8.25,Late,Lowest poverty
06M423,High School for Excellence and Innovation,Manhattan,New York City,525.0,8:45am,M052,54.9,0.0,16.9,68.0,,71.0,94.5,51.1,19.2,182.0,Other,1.0,False,0.182,8.75,Late,Highest poverty
02M294,Essex Street Academy,Manhattan,New York City,565.0,9:25am,M445,87.5,0.0,2.8,87.0,74.0,72.0,68.0,3.5000000000000004,26.8,339.0,Unscreened,21.0,False,0.339,9.416666666666666,Late,Lower middle
05M304,Mott Hall High School,Manhattan,New York City,480.0,8am,M136,62.7,0.0,8.0,80.0,36.0,75.0,90.5,20.1,31.6,288.0,Unscreened,4.0,False,0.288,8.0,Early,Highest poverty
02M413,School of the Future High School,Manhattan,New York City,515.0,8:35am,M660,89.0,0.0,0.9,94.0,79.0,109.0,41.0,0.7000000000000001,21.2,749.0,Screened,17.0,False,0.749,8.583333333333334,Late,Lowest poverty
04M372,Esperanza Preparatory Academy,Manhattan,New York City,480.0,8am,M117,72.3,6.4,7.4,86.0,41.0,94.0,92.1,32.5,24.6,569.0,Screened,4.0,False,0.569,8.0,Early,Highest poverty
07X334,International Community High School,Bronx,New York City,540.0,9am,X139,77.7,0.0,15.7,89.0,42.0,121.0,98.7,81.39999999999999,6.6000000000000005,425.0,Screened,3.0,False,0.425,9.0,Late,Highest poverty
02M655,Life Sciences Secondary School,Manhattan,New York City,500.0,8:20am,M645,70.1,1.0,5.2,80.0,47.0,97.0,84.8,10.4,21.6,425.0,Educational option,2.0,False,0.425,8.333333333333334,Late,Upper middle
31R450,Curtis High School,Staten Island,New York City,540.0,9am,R450,77.3,19.8,9.0,85.0,48.0,655.0,72.3,8.200000000000001,19.0,2586.0,Unscreened,4.0,False,2.586,9.0,Late,Upper middle
18K637,Academy for Conservation and the Environment,Brooklyn,New York City,485.0,8:05am,K515,86.0,2.3,7.0,82.0,48.0,86.0,75.1,13.3,18.0,300.0,Educational option,4.0,False,0.3,8.083333333333334,Early,Upper middle
21K410,Abraham Lincoln High School,Brooklyn,New York City,465.0,7:45am,K410,81.6,11.1,8.8,86.0,45.0,441.0,81.3,17.599999999999998,16.400000000000002,1904.0,Educational option,5.0,False,1.904,7.75,Early,Upper middle
09X543,High School for Violin and Dance,Bronx,New York City,490.0,8:10am,X400,58.3,0.0,28.3,71.0,43.0,60.0,92.5,17.8,30.8,253.0,Educational option,3.0,False,0.253,8.166666666666666,Early,Highest poverty
02M303,The Facing History School,Manhattan,New York City,520.0,8:40am,M535,73.7,0.0,14.1,82.0,55.00000000000001,99.0,85.39999999999999,11.0,24.7,372.0,Educational option,3.0,False,0.372,8.666666666666666,Late,Highest poverty
08X558,Westchester Square Academy,Bronx,New York City,495.0,8:15am,X405,71.5,4.6,11.9,87.0,60.0,151.0,72.6,9.6,21.5,554.0,Educational option,12.0,False,0.554,8.25,Late,Upper middle
