nrc_school_code,school_name,district,city,school_type,grade_levels,act_composite,grad_rate,outcome_censored,ela_proficient_pct,math_proficient_pct,chronic_absent_pct,enrollment_nrc,el_pct,iep_pct,frl_pct_reported,ncessch,lea_name,locale_group,charter,enrollment_ccd,latitude,longitude,frl_pct_ccd,direct_cert_pct,start_minutes,start_time_source,start_time_url,school_id,enrollment,poverty_pct,enrollment_1000,start_hours,start_group,poverty_band
02411,Bonanza High School,Clark,Las Vegas,Regular School,09-12,15.17,90.61,False,27.7,7.7,48.0,2035.0,19.8,13.8,100.0,320006000011,CLARK COUNTY SCHOOL DISTRICT,City,0,2035.0,36.154497,-115.237227,99.95085995085996,54.5945945945946,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02411,2035.0,54.5945945945946,2.035,7.0,Early,Highest poverty
02412,Southeast Career and Technical Academy,Clark,Las Vegas,Regular School,09-12,19.2,97.5,True,73.0,32.0,19.5,2006.0,6.9,7.7,100.0,320006000796,CLARK COUNTY SCHOOL DISTRICT,City,0,2006.0,36.082783,-115.069321,99.95014955134596,34.64606181455633,,,,02412,2006.0,34.64606181455633,2.006,,,Upper middle
02414,Cimarron-Memorial High School,Clark,Las Vegas,Regular School,09-12,14.8,90.66,False,22.5,6.7,50.0,2503.0,16.0,12.1,100.0,320006000406,CLARK COUNTY SCHOOL DISTRICT,City,0,2503.0,36.201567,-115.252427,99.96004794246905,57.97043547742709,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02414,2503.0,57.97043547742709,2.503,7.0,Early,Highest poverty
02415,Cheyenne High School,Clark,N  Las Vegas,Regular School,09-12,14.33,75.48,False,17.8,2.5,60.1,2110.0,16.2,14.8,100.0,320006000405,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2110.0,36.234043,-115.183638,99.95260663507108,55.40284360189573,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02415,2110.0,55.40284360189573,2.11,7.0,Early,Highest poverty
02416,Green Valley High School,Clark,Henderson,Regular School,09-12,17.97,92.58,False,56.2,19.9,35.3,2617.0,5.2,11.1,100.0,320006000407,CLARK COUNTY SCHOOL DISTRICT,City,0,2617.0,36.057642,-115.053364,99.88536492166602,34.50515857852503,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02416,2617.0,34.50515857852503,2.617,7.0,Early,Upper middle
02417,Durango High School,Clark,Las Vegas,Regular School,09-12,15.93,86.09,False,32.2,14.0,47.2,2330.0,13.8,11.5,100.0,320006000276,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2330.0,36.088577,-115.247477,99.95708154506438,48.62660944206009,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02417,2330.0,48.62660944206009,2.33,7.0,Early,Highest poverty
02418,Las Vegas Academy of the Arts,Clark,Las Vegas,Regular School,09-12,22.01,97.5,True,92.0,43.3,18.5,1737.0,2.1,4.7,100.0,320006000277,CLARK COUNTY SCHOOL DISTRICT,City,0,1737.0,36.165335,-115.139766,99.59700633275764,22.9706390328152,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02418,1737.0,22.9706390328152,1.737,7.0,Early,Lower middle
02420,Advanced Technologies Academy,Clark,Las Vegas,Regular School,09-12,24.11,97.5,True,91.3,71.8,13.9,1195.0,3.1,4.6,100.0,320006000419,CLARK COUNTY SCHOOL DISTRICT,City,0,1195.0,36.186245,-115.176863,99.9163179916318,29.456066945606693,445.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02420,1195.0,29.456066945606693,1.195,7.416666666666667,Early,Lower middle
02421,Silverado College Preparatory & Career/Technical High School,Clark,Las Vegas,Regular School,09-12,16.91,91.55,False,46.8,17.8,41.1,2096.0,8.4,13.8,100.0,320006000420,CLARK COUNTY SCHOOL DISTRICT,City,0,2096.0,36.02351,-115.130568,99.95229007633588,40.12404580152672,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02421,2096.0,40.12404580152672,2.096,7.0,Early,Upper middle
02422,College of Southern Nevada High School East,Clark,N  Las Vegas,Regular School,11-12,20.77,97.5,True,90.7,36.9,13.3,127.0,0.0,,0.0,320006000443,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,127.0,36.222345,-115.105665,2.3622047244094486,2.3622047244094486,,,,02422,127.0,2.3622047244094486,0.127,,,Lowest poverty
02423,College of Southern Nevada High School West,Clark,Las Vegas,Regular School,11-12,23.09,97.5,True,93.5,62.3,16.0,187.0,0.0,0.0,0.0,320006000444,CLARK COUNTY SCHOOL DISTRICT,City,0,187.0,36.154666,-115.233753,1.60427807486631,1.60427807486631,,,,02423,187.0,1.60427807486631,0.187,,,Lowest poverty
02424,Mojave High School,Clark,N  Las Vegas,Regular School,09-12,14.55,82.43,False,23.8,2.5,60.8,2758.0,18.0,14.4,100.0,320006000445,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2758.0,36.256161,-115.138327,99.92748368382888,57.940536620739664,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02424,2758.0,57.940536620739664,2.758,7.0,Early,Highest poverty
02425,Palo Verde High School,Clark,Las Vegas,Regular School,09-12,19.39,97.5,True,64.9,35.2,36.4,3186.0,6.4,7.3,100.0,320006000446,CLARK COUNTY SCHOOL DISTRICT,City,0,3186.0,36.171326,-115.33257,100.0,25.58066541117389,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02425,3186.0,25.58066541117389,3.186,7.0,Early,Lower middle
02426,College of Southern Nevada High School South,Clark,Henderson,Regular School,11-12,24.6,97.5,True,97.5,67.7,13.3,119.0,0.0,0.0,0.0,320006000463,CLARK COUNTY SCHOOL DISTRICT,City,0,119.0,36.007563,-114.965858,2.5210084033613445,2.5210084033613445,,,,02426,119.0,2.5210084033613445,0.119,,,Lowest poverty
02427,Shadow Ridge High School,Clark,Las Vegas,Regular School,09-12,18.58,93.94,False,61.0,28.3,35.7,3243.0,4.9,10.6,100.0,320006000595,CLARK COUNTY SCHOOL DISTRICT,City,0,3243.0,36.318921,-115.210867,99.93832870798644,27.166204131976563,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02427,3243.0,27.166204131976563,3.243,7.0,Early,Lower middle
02428,Liberty High School,Clark,Henderson,Regular School,09-12,17.48,92.05,False,51.9,18.1,41.8,3240.0,5.2,10.3,100.0,320006000604,CLARK COUNTY SCHOOL DISTRICT,City,0,3240.0,35.988943,-115.153463,100.0,33.7962962962963,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02428,3240.0,33.7962962962963,3.24,7.0,Early,Upper middle
02429,Canyon Springs High School and the Leadership and Law Preparatory Academy,Clark,N  Las Vegas,Regular School,09-12,15.22,82.72,False,34.6,6.3,49.0,2719.0,23.3,13.7,100.0,320006000567,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2719.0,36.233566,-115.135695,99.96322177271055,64.14122839279146,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02429,2719.0,64.14122839279146,2.719,7.0,Early,Highest poverty
02430,Del Sol Academy of the Performing Arts,Clark,Las Vegas,Regular School,09-12,15.45,93.31,False,30.5,6.6,46.7,2511.0,21.4,12.5,100.0,320006000571,CLARK COUNTY SCHOOL DISTRICT,City,0,2511.0,36.080564,-115.10798,99.92035045798488,56.23257666268419,,,,02430,2511.0,56.23257666268419,2.511,,,Highest poverty
