model_number,specification,controls,outcome,outcome_label,coefficient,std_error,ci_low,ci_high,p_value,n,r_squared,adj_r_squared,note
1,Unadjusted (censored values dropped),none,grad_rate,Four year graduation rate (percent),0.24846226955814585,17.891491211598783,-36.40059610564768,36.89752064476397,0.989018473695215,30.0,8.196242147329169e-05,-0.03562939606347415,
2,Plus poverty (censored values dropped),Direct certification rate (percent),grad_rate,Four year graduation rate (percent),5.2336330317544535,18.867213575083035,-33.478691542552,43.9459576060609,0.7835912286660853,30.0,0.22106334584232756,0.1633643344232406,
3,Plus size and English learners (censored values dropped),"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent)",grad_rate,Four year graduation rate (percent),15.058924364618045,15.361723877022586,-16.646115449295728,46.76396417853182,0.3367228034429812,29.0,0.4249580057458331,0.32911767337013853,
4,Plus locale (censored values dropped),"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural)",grad_rate,Four year graduation rate (percent),14.693769130521105,8.982164813822237,-3.985665171929412,33.37320343297162,0.11676503296171747,29.0,0.478298160002787,0.30439754667038266,
5,Plus district fixed effects (censored values dropped),"Direct certification rate (percent), Enrollment (per 1,000 students), English learners (percent), Locale (city, suburb, town, rural), District fixed effects",grad_rate,Four year graduation rate (percent),,,,,,,,,"not identified, every school with a start time is in one district"
