outcome,outcome_label,n,r,ci_low,ci_high,p_value
grad_rate,Four year graduation rate (percent),421,-0.043148833599454185,-0.1381514976797955,0.05264062603270951,0.3771719136621283
advanced_regents_pct,Advanced Regents diploma rate (percent),421,-0.13295879281709982,-0.22566362103924276,-0.03786760530915786,0.006292914995606823
attendance_rate,Attendance rate (percent),423,-0.08347751670665007,-0.17741139483268786,0.011963643206970015,0.08638324038166743
college_career_rate,College and career readiness (percent),383,0.051450516321933176,-0.049008749223155616,0.15087922326492484,0.3152434109537185
dropout_pct,Dropout rate (percent),421,-0.0005733234893210135,-0.09614043387040232,0.09500426045300112,0.9906421137503173
