model_number,specification,controls,outcome,outcome_label,coefficient,std_error,ci_low,ci_high,p_value,n,r_squared,adj_r_squared,note
1,Unadjusted,none,grad_rate,Four year graduation rate (percent),-1.6836812976855906,1.963568965168661,-5.551002766739648,2.1836401713684666,0.39201540227435183,421,0.0018618218409934828,-0.0005203695149946785,
2,Plus poverty,Economic Need Index (percent),grad_rate,Four year graduation rate (percent),-0.16589671169834955,1.6379552033644518,-3.391909872267959,3.0601164488712596,0.9194074667946925,421,0.3313867868129198,0.328187680529728,
3,"Plus size, English learners, disability","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",grad_rate,Four year graduation rate (percent),0.02896621953954792,1.5291602834469757,-2.9827713352406144,3.0407037743197103,0.9849020926365087,421,0.4749999804187518,0.46867467897801385,
4,Plus borough fixed effects,"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects",grad_rate,Four year graduation rate (percent),-0.005190039686751469,1.5275632115547455,-3.0137821024948943,3.0034020231213914,0.9972918377928853,421,0.4868348218477052,0.4755976281655382,
5,Plus admissions selectivity,"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects, Admissions method, Applicants per seat",grad_rate,Four year graduation rate (percent),1.1356818771683166,1.2670094859439804,-1.3603034078805805,3.6316671622172136,0.3709724603783673,405,0.6435069811423928,0.6307097958500685,
1,Unadjusted,none,advanced_regents_pct,Advanced Regents diploma rate (percent),-7.490482051071948,2.7735217422186764,-12.953035375573682,-2.027928726570213,0.007394005667823376,421,0.01767804058738054,0.015333596770166658,
2,Plus poverty,Economic Need Index (percent),advanced_regents_pct,Advanced Regents diploma rate (percent),-5.297836208311116,2.407758971760888,-10.040006271585968,-0.5556661450362643,0.02870310965875024,421,0.3475924410425971,0.3444708737748584,
3,"Plus size, English learners, disability","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",advanced_regents_pct,Advanced Regents diploma rate (percent),-5.820609386326327,1.9985178048980214,-9.756763883708613,-1.8844548889440405,0.003911446731591675,421,0.4865206240988946,0.4803341255940621,
4,Plus borough fixed effects,"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects",advanced_regents_pct,Advanced Regents diploma rate (percent),-5.576830874520022,2.0863910077444046,-9.686054884585896,-1.4676068644541465,0.008015483519219557,421,0.5068115703907339,0.4960118237569544,
5,Plus admissions selectivity,"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects, Admissions method, Applicants per seat",advanced_regents_pct,Advanced Regents diploma rate (percent),-5.049031250235492,2.087492272238593,-9.161352469582058,-0.9367100308889267,0.016327151006643306,405,0.4775194076146334,0.4587636940418254,
1,Unadjusted,none,attendance_rate,Attendance rate (percent),-1.319058775964898,0.8070083267905043,-2.908460379056235,0.2703428271264394,0.10341149622555079,423,0.0069684957955090665,0.0046097511299402205,
2,Plus poverty,Economic Need Index (percent),attendance_rate,Attendance rate (percent),-0.6866895517526134,0.6957962806545424,-2.057059208650102,0.6836801051448752,0.32464007090484626,423,0.33797485533599303,0.33482235464711674,
3,"Plus size, English learners, disability","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",attendance_rate,Attendance rate (percent),-0.7895569179522042,0.6137530845186008,-1.9983426318688247,0.4192287959644163,0.19947935329631905,423,0.5043140945033671,0.49837061841827557,
4,Plus borough fixed effects,"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects",attendance_rate,Attendance rate (percent),-0.8983809647758831,0.6281914524945301,-2.135603021224719,0.33884109167295273,0.15393489531513915,423,0.5104363947632153,0.4997679384747624,
5,Plus admissions selectivity,"Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent), Borough fixed effects, Admissions method, Applicants per seat",attendance_rate,Attendance rate (percent),-0.4490519787177618,0.4533729339573837,-1.3421691868965906,0.44406522946106697,0.3229464732384918,407,0.6660227953783159,0.6540950380703987,
1,Unadjusted,none,college_career_rate,College and career readiness (percent),2.634509077200699,2.5733243179213994,-2.435111863817809,7.704130018219207,0.3069890811607826,383,0.0026471556297935628,2.943162882185213e-05,
2,Plus poverty,Economic Need Index (percent),college_career_rate,College and career readiness (percent),5.704009381812107,1.8619192236310247,2.0359040361830374,9.372114727441177,0.0024415627250736114,383,0.4464673746431156,0.44355404503597406,
3,"Plus size, English learners, disability","Economic Need Index (percent), Enrollment (per 1,000 students), English learners (percent), Students with disabilities (percent)",college_career_rate,College and career readiness (percent),5.481909435080701,1.7199576533124188,2.093477873550639,8.870340996610764,0.0016305434144117318,383,0.5715404349817389,0.5658579473820272,
